WVZ-Nr. (R | S | E/M),edwoca-ID,,,,,,,
R 478 | S 3 | I7,596,,,,,,,
R 478 | S 3 | I7,597,,,,,,,
R 478 | S 3 | I7,598,,,,,,,
R 478 | S 3 | I7,599,,,,,,,
R 478 | S 3 | I7,600,,,,,,,
R 586 | S 293 | N37,601,,,,,,,
R 586a | S 293/1 | N37,602,,,,,,,
R 586b | S 293/2 | N37,603,,,,,,,
R - | S 67a | L6,604,,,,,,,
R 549 | S 79 | M14,605,,,,,,,
R 549 | S 79 | M14,606,,,,,,,
R 549 | S 79 | M14,607,,,,,,,
R 585 | S 300 | N40,608,,,,,,,
R 548 | S 81 | L3,609,,,,,,,
R 548 | S 81 | L3,610,,,,,,,
R 548 | S 81 | L3,611,,,,,,,
"R 547,1 | S 80 | L2",612,,,,,,,
"R 547,3 | S 80 | L2",613,,,,,,,
"R 547,4 | S 80 | L2",614,,,,,,,
"R 547,4 | S 80 | L2",615,,,,,,,
R 508 | S 19 | J2,616,,,,,,,
R 555 | S 85/2 | M29,617,,,,,,,
R - | S 164e | -,618,,,,,,,
S 166j,619,,,,,,,
R 420 | S 103 | G13,620,,,,,,,
R 420 | S 103 | G13,621,,,,,,,
R 421 | S 104 | G22,622,,,,,,,
R 671 | S 688 | Q17,623,,,,,,,
R 671 | S 688 | Q17,624,,,,,,,
R 671 | S 688 | Q17,625,,,,,,,
R 671 | S 688 | Q17,626,,,,,,,
R 330 | S 604 | B28,627,,,,,,,
"R 186,1 | S 519 | A302",628,,,,,,,
"R 186,2 | S 519 | A302",629,,,,,,,
R 671 | S 688 | Q17,630,,,,,,,
